unix_ts_recv,seq,rtt_ms,t_send_unix,warmup,test_id,condition,camera_mode,lidar_mode,video_enabled,lidar_enabled
1779496190.275984,1,91.3098,1779496190.1846743,True,C1_control_only,C1_control_only,off,off,False,False
1779496190.2959342,2,10.5698,1779496190.2853644,True,C1_control_only,C1_control_only,off,off,False,False
1779496190.405021,3,19.325,1779496190.385696,True,C1_control_only,C1_control_only,off,off,False,False
1779496190.5009253,4,14.6172,1779496190.486308,True,C1_control_only,C1_control_only,off,off,False,False
1779496190.6018429,5,15.285,1779496190.5865579,True,C1_control_only,C1_control_only,off,off,False,False
1779496190.6940997,6,7.0343,1779496190.6870654,True,C1_control_only,C1_control_only,off,off,False,False
1779496190.8022184,7,14.7896,1779496190.7874289,True,C1_control_only,C1_control_only,off,off,False,False
1779496190.8939066,8,6.0601,1779496190.8878465,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.003963,9,15.9686,1779496190.9879944,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.1403737,10,51.8203,1779496191.0885534,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.207898,11,19.1898,1779496191.188708,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.2984133,12,9.2185,1779496191.2891948,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.410811,13,21.1117,1779496191.3896992,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.4988763,14,8.8656,1779496191.4900107,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.607304,15,16.7799,1779496191.5905242,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.704615,16,13.9618,1779496191.6906533,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.8050756,17,14.004,1779496191.7910717,True,C1_control_only,C1_control_only,off,off,False,False
1779496191.8990211,18,7.5188,1779496191.8915024,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.0241578,19,31.7841,1779496191.9923737,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.115216,20,22.4533,1779496192.0927627,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.2047193,21,11.6994,1779496192.1930199,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.311861,22,18.445,1779496192.293416,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.4014227,23,7.5855,1779496192.3938372,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.5089595,24,14.7712,1779496192.4941883,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.6010327,25,6.5236,1779496192.5945091,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.7107942,26,15.8634,1779496192.6949308,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.801996,27,6.5088,1779496192.7954872,True,C1_control_only,C1_control_only,off,off,False,False
1779496192.911225,28,15.6069,1779496192.8956182,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.005345,29,9.2654,1779496192.9960797,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.1167169,30,20.3781,1779496193.0963387,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.2173405,31,20.294,1779496193.1970465,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.3165367,32,19.2275,1779496193.2973092,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.4079945,33,10.0799,1779496193.3979146,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.55665,34,58.1636,1779496193.4984863,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.6541073,35,55.2611,1779496193.5988462,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.7061365,36,6.6259,1779496193.6995106,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.8174534,37,17.8034,1779496193.79965,True,C1_control_only,C1_control_only,off,off,False,False
1779496193.9071674,38,6.9709,1779496193.9001966,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.0158467,39,14.9331,1779496194.0009136,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.1091976,40,8.0507,1779496194.101147,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.2173543,41,15.5411,1779496194.2018132,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.3131237,42,11.0371,1779496194.3020866,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.4190044,43,16.7303,1779496194.4022741,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.5098155,44,7.0641,1779496194.5027514,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.6586046,45,55.4774,1779496194.6031272,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.725083,46,21.6277,1779496194.7034554,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.817349,47,13.5748,1779496194.803774,True,C1_control_only,C1_control_only,off,off,False,False
1779496194.9629996,48,59.0234,1779496194.9039762,True,C1_control_only,C1_control_only,off,off,False,False
1779496195.0479672,49,43.2901,1779496195.004677,True,C1_control_only,C1_control_only,off,off,False,False
1779496195.1308062,50,25.6112,1779496195.105195,True,C1_control_only,C1_control_only,off,off,False,False
1779496195.2188067,51,13.3998,1779496195.205407,False,C1_control_only,C1_control_only,off,off,False,False
1779496195.38076,52,75.0611,1779496195.3056989,False,C1_control_only,C1_control_only,off,off,False,False
1779496195.4630988,53,56.9308,1779496195.406168,False,C1_control_only,C1_control_only,off,off,False,False
1779496195.5499845,54,43.0791,1779496195.5069053,False,C1_control_only,C1_control_only,off,off,False,False
1779496195.6361988,55,28.95,1779496195.6072488,False,C1_control_only,C1_control_only,off,off,False,False
1779496195.7247293,56,17.112,1779496195.7076173,False,C1_control_only,C1_control_only,off,off,False,False
1779496195.8226373,57,14.9195,1779496195.8077178,False,C1_control_only,C1_control_only,off,off,False,False
1779496195.9269423,58,19.1042,1779496195.907838,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.0167518,59,8.6899,1779496196.008062,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.1240187,60,15.444,1779496196.1085746,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.243099,61,33.9649,1779496196.209134,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.3263443,62,16.979,1779496196.3093653,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.417314,63,7.4105,1779496196.4099035,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.524449,64,14.0495,1779496196.5103996,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.6303244,65,19.3553,1779496196.610969,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.723544,66,12.2795,1779496196.7112644,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.8204925,67,8.7142,1779496196.8117783,False,C1_control_only,C1_control_only,off,off,False,False
1779496196.9247816,68,12.5725,1779496196.912209,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.018791,69,6.1421,1779496197.0126488,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.1848295,70,71.898,1779496197.1129315,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.272451,71,58.9049,1779496197.213546,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.3554945,72,41.6119,1779496197.3138826,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.4499204,73,35.322,1779496197.4145985,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.5396142,74,24.5938,1779496197.5150204,False,C1_control_only,C1_control_only,off,off,False,False
1779496197.6231647,75,7.8681,1779496197.6152966,False,C1_control_only,C1_control_only,off,off,False,False
