unix_ts_recv,seq,rtt_ms,t_send_unix,warmup,test_id,condition,camera_mode,lidar_mode,video_enabled,lidar_enabled
1779496307.3214767,1101,50.1666,1779496307.27131,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496307.383013,1102,11.0595,1779496307.3719535,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496307.491951,1103,19.536,1779496307.472415,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496307.5881317,1104,15.3313,1779496307.5728004,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496307.6942499,1105,20.8123,1779496307.6734376,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496307.7900975,1106,15.9566,1779496307.7741408,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496307.8840337,1107,9.536,1779496307.8744977,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496307.991195,1108,16.2179,1779496307.974977,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.0848916,1109,9.6707,1779496308.0752208,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.1923363,1110,16.8099,1779496308.1755264,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.2847326,1111,8.6606,1779496308.276072,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.3927805,1112,16.4206,1779496308.37636,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.486417,1113,9.264,1779496308.477153,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.5924084,1114,14.8134,1779496308.577595,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.6840065,1115,5.7602,1779496308.6782463,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.7973464,1116,18.6405,1779496308.7787058,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.8882399,1117,9.3634,1779496308.8788764,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496308.9936159,1118,14.2298,1779496308.979386,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496309.1006866,1119,20.9987,1779496309.0796878,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496309.194008,1120,13.3445,1779496309.1806636,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496309.2999485,1121,18.6806,1779496309.281268,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496309.3931665,1122,11.6606,1779496309.381506,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496309.4898436,1123,7.7009,1779496309.4821427,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496309.5988111,1124,15.9705,1779496309.5828407,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496309.689691,1125,6.3043,1779496309.6833868,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496309.7981987,1126,14.236,1779496309.7839627,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496309.9040227,1127,19.2068,1779496309.884816,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.0120995,1128,26.6526,1779496309.985447,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.0958972,1129,10.1683,1779496310.085729,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.2051818,1130,18.6212,1779496310.1865606,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.2933824,1131,6.5291,1779496310.2868533,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.405237,1132,18.2025,1779496310.3870344,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.533629,1133,45.8117,1779496310.4878173,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.6219714,1134,33.9651,1779496310.5880063,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.6990724,1135,10.6912,1779496310.6883812,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.8006241,1136,11.6694,1779496310.7889547,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.901375,1137,12.3205,1779496310.8890545,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496310.9969177,1138,7.4222,1779496310.9894955,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496311.1549149,1139,65.0666,1779496311.0898483,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496311.201285,1140,11.0917,1779496311.1901932,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496311.3028276,1141,11.8237,1779496311.291004,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496311.4137702,1142,22.2938,1779496311.3914764,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496311.515553,1143,23.7846,1779496311.4917684,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496311.60517,1144,12.6064,1779496311.5925636,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496311.6989326,1145,6.0225,1779496311.6929102,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496311.8016129,1146,8.0087,1779496311.7936041,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496311.899804,1147,5.8711,1779496311.893933,True,C2_video_normal,C2_video_normal,normal,off,True,False
1779496312.011644,1148,17.5407,1779496311.9941032,True,C2_video_normal,C2_video_normal,normal,off,True,False
