unix_ts_recv,seq,rtt_ms,t_send_unix,warmup,test_id,condition,camera_mode,lidar_mode,video_enabled,lidar_enabled
1779496424.467736,2201,105.0878,1779496424.3626482,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496424.4824214,2202,18.7523,1779496424.463669,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496424.5762613,2203,11.8697,1779496424.5643916,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496424.6878965,2204,23.2141,1779496424.6646824,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496424.7854817,2205,20.4155,1779496424.7650661,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496424.875619,2206,10.1845,1779496424.8654344,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496424.9696054,2207,3.5858,1779496424.9660196,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.0785139,2208,12.2495,1779496425.0662644,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.1776516,2209,10.3922,1779496425.1672595,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.2855892,2210,17.7457,1779496425.2678435,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.3882878,2211,19.6228,1779496425.368665,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.482311,2212,13.4056,1779496425.4689054,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.5909576,2213,21.3914,1779496425.5695662,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.6773953,2214,7.3948,1779496425.6700006,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.7840798,2215,13.8123,1779496425.7702675,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.877274,2216,6.4189,1779496425.870855,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496425.9914863,2217,20.3009,1779496425.9711854,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496426.08159,2218,9.8615,1779496426.0717285,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496426.1819875,2219,9.7113,1779496426.1722763,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496426.2834363,2220,10.3016,1779496426.2731347,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496426.3920188,2221,18.6241,1779496426.3733947,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496426.5170605,2222,42.8617,1779496426.4741988,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496426.60128,2223,26.6228,1779496426.5746572,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496426.6864367,2224,11.5659,1779496426.6748707,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496426.8051136,2225,30.0653,1779496426.7750483,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496426.891071,2226,15.8072,1779496426.875264,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.0301507,2227,54.2595,1779496426.975891,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.0906727,2228,13.7146,1779496427.0769582,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.1876457,2229,10.4604,1779496427.1771853,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.2957556,2230,18.4197,1779496427.277336,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.386892,2231,9.2938,1779496427.3775983,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.4959304,2232,17.5831,1779496427.4783473,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.5904307,2233,11.5387,1779496427.578892,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.6966205,2234,17.4401,1779496427.6791804,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.7842214,2235,4.7979,1779496427.7794235,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.897753,2236,17.5173,1779496427.8802357,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496427.9922514,2237,11.8651,1779496427.9803863,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.1035912,2238,22.8119,1779496428.0807793,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.1876943,2239,6.2964,1779496428.181398,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.2897532,2240,7.6709,1779496428.2820823,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.3878202,2241,5.2602,1779496428.38256,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.502389,2242,19.3179,1779496428.483071,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.593206,2243,9.5994,1779496428.5836065,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.7079945,2244,23.7086,1779496428.6842859,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.7949204,2245,10.15,1779496428.7847705,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.9002442,2246,14.6565,1779496428.8855877,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496428.9920995,2247,6.0685,1779496428.986031,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496429.1046646,2248,18.1644,1779496429.0865002,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496429.2018301,2249,14.8191,1779496429.187011,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496429.3052955,2250,17.5097,1779496429.2877858,True,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496429.4000463,2251,11.5182,1779496429.388528,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496429.508739,2252,20.1118,1779496429.4886272,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496429.5996022,2253,10.6609,1779496429.5889413,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496429.712857,2254,23.3834,1779496429.6894736,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496429.8034499,2255,13.1474,1779496429.7903025,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496429.8976555,2256,7.1182,1779496429.8905373,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.0275054,2257,36.0155,1779496429.99149,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.116417,2258,24.6687,1779496430.0917482,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.2086089,2259,16.4332,1779496430.1921756,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.2997265,2260,6.7165,1779496430.29301,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.4033756,2261,9.6807,1779496430.3936949,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.541011,2262,46.1655,1779496430.4948456,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.6172538,2263,21.7752,1779496430.5954785,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.7073991,2264,11.7366,1779496430.6956625,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.8193486,2265,23.3133,1779496430.7960353,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496430.9045444,2266,4.6163,1779496430.899928,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496431.023118,2267,22.0919,1779496431.0010262,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496431.114287,2268,12.7113,1779496431.1015756,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496431.2204735,2269,18.574,1779496431.2018995,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496431.3114412,2270,8.7368,1779496431.3027043,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496431.4135976,2271,9.577,1779496431.4040205,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496431.514983,2272,10.303,1779496431.50468,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496431.6303203,2273,25.2936,1779496431.6050267,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
1779496431.717394,2274,12.0144,1779496431.7053797,False,C3_lidar_detail,C3_lidar_detail,off,detail,False,True
