unix_ts_recv,seq,rtt_ms,t_send_unix,warmup,test_id,condition,camera_mode,lidar_mode,video_enabled,lidar_enabled
1779496541.7172868,3301,57.0035,1779496541.6602833,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496541.812077,3302,51.0809,1779496541.760996,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496541.8962455,3303,34.8172,1779496541.8614283,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496541.980586,3304,18.1687,1779496541.9624174,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.0687716,3305,5.5289,1779496542.0632427,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.178903,3306,15.1358,1779496542.1637673,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.2729485,3307,8.3141,1779496542.2646344,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.3809178,3308,15.7354,1779496542.3651824,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.4789853,3309,12.8562,1779496542.466129,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.5824184,3310,16.0549,1779496542.5663636,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.718556,3311,51.6732,1779496542.6668828,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.7978575,3312,30.6931,1779496542.7671645,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.8894064,3313,22.1257,1779496542.8672807,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496542.9727826,3314,3.6139,1779496542.9691687,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496543.1332014,3315,62.8927,1779496543.0703087,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496543.22071,3316,49.984,1779496543.170726,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496543.3021784,3317,30.961,1779496543.2712173,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496543.3887904,3318,16.9828,1779496543.3718076,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496543.476822,3319,4.6828,1779496543.4721391,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496543.5852642,3320,11.9655,1779496543.5732987,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496543.7325904,3321,58.7409,1779496543.6738496,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496543.8281028,3322,53.3106,1779496543.7747922,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496543.9166143,3323,41.6915,1779496543.8749228,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.0002325,3324,18.2652,1779496543.9819672,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.0935652,3325,11.035,1779496544.0825303,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.22981,3326,47.1375,1779496544.1826725,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.3086298,3327,25.3713,1779496544.2832584,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.4041498,3328,20.6044,1779496544.3835454,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.498097,3329,14.1237,1779496544.4839733,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.6087132,3330,24.2507,1779496544.5844624,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.699574,3331,14.6554,1779496544.6849186,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.8057644,3332,20.4437,1779496544.7853208,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496544.902396,3333,16.1083,1779496544.8862877,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496545.0048122,3334,7.7767,1779496544.9970355,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496545.11611,3335,18.5719,1779496545.0975382,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496545.2106204,3336,12.666,1779496545.1979544,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496545.3208773,3337,22.2175,1779496545.2986598,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
1779496545.4110944,3338,11.7486,1779496545.3993459,True,C4_lidar_medium,C4_lidar_medium,off,medium,False,True
