unix_ts_recv,seq,rtt_ms,t_send_unix,warmup,test_id,condition,camera_mode,lidar_mode,video_enabled,lidar_enabled
1779496776.8363752,5501,44.359,1779496776.7920163,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496776.9018066,5502,9.182,1779496776.8926246,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.0103512,5503,17.2427,1779496776.9931085,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.102621,5504,8.8897,1779496777.0937314,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.2093575,5505,15.2452,1779496777.1941123,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.3018491,5506,7.3745,1779496777.2944746,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.4092493,5507,14.4262,1779496777.394823,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.5023575,5508,7.3814,1779496777.494976,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.607859,5509,12.4636,1779496777.5953953,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.7053363,5510,8.8134,1779496777.696523,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.8092258,5511,11.1468,1779496777.798079,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496777.9197593,5512,20.782,1779496777.8989773,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.0130093,5513,13.0515,1779496777.9999578,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.121404,5514,20.5076,1779496778.1008964,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.2097487,5515,8.5583,1779496778.2011905,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.317427,5516,16.0115,1779496778.3014154,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.4155009,5517,13.7141,1779496778.4017868,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.5090067,5518,7.0493,1779496778.5019574,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.6613715,5519,58.8984,1779496778.602473,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.7489295,5520,46.0079,1779496778.7029216,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.8371887,5521,33.4675,1779496778.8037212,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496778.9129083,5522,8.2555,1779496778.9046528,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.0687296,5523,63.7002,1779496779.0050294,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.169021,5524,63.3359,1779496779.105685,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.258091,5525,51.9149,1779496779.206176,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.3453455,5526,38.8057,1779496779.3065398,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.4272163,5527,20.4806,1779496779.4067357,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.523927,5528,16.7403,1779496779.5071867,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.6135857,5529,5.7809,1779496779.6078048,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.7282722,5530,20.1859,1779496779.7080863,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.8371801,5531,28.5859,1779496779.8085942,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496779.9246073,5532,15.66,1779496779.9089472,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.0170672,5533,7.9937,1779496780.0090735,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.1292055,5534,19.7999,1779496780.1094055,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.2190623,5535,9.095,1779496780.2099674,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.326813,5536,16.3109,1779496780.310502,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.4230828,5537,12.0456,1779496780.4110372,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.5291762,5538,17.5295,1779496780.5116467,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.6210997,5539,8.7252,1779496780.6123745,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.7408683,5540,28.2238,1779496780.7126446,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.8314776,5541,12.3184,1779496780.8191593,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496780.9365127,5542,16.4962,1779496780.9200165,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.039447,5543,19.2528,1779496781.0201943,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.130513,5544,9.831,1779496781.120682,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.2987502,5545,77.3675,1779496781.2213826,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.384943,5546,63.0617,1779496781.3218813,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.4686434,5547,46.1178,1779496781.4225256,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.5486724,5548,25.3031,1779496781.5233693,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.6331913,5549,9.5766,1779496781.6236148,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.7409334,5550,16.794,1779496781.7241395,True,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.833256,5551,7.5021,1779496781.825754,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496781.9399881,5552,13.8063,1779496781.9261818,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.032366,5553,5.2607,1779496782.0271053,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.1390464,5554,11.7385,1779496782.127308,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.2339628,5555,6.1548,1779496782.227808,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.3358018,5556,6.3148,1779496782.329487,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.4756773,5557,45.4497,1779496782.4302275,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.5715282,5558,40.8089,1779496782.5307193,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.6406047,5559,9.4614,1779496782.6311433,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.7526412,5560,20.7739,1779496782.7318673,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.8422499,5561,10.1552,1779496782.8320947,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496782.9509766,5562,18.4734,1779496782.9325032,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496783.0467236,5563,13.6106,1779496783.033113,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496783.1624165,5564,29.1288,1779496783.1332877,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496783.243975,5565,10.2527,1779496783.2337222,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496783.34692,5566,12.2504,1779496783.3346696,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496783.484501,5567,49.3174,1779496783.4351835,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496783.567869,5568,32.2192,1779496783.5356498,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496783.6523433,5569,16.4459,1779496783.6358974,False,C6_full_detail,C6_full_detail,normal,detail,True,True
1779496783.7458222,5570,9.3343,1779496783.7364879,False,C6_full_detail,C6_full_detail,normal,detail,True,True
