unix_ts_recv,seq,rtt_ms,t_send_unix,warmup,test_id,condition,camera_mode,lidar_mode,video_enabled,lidar_enabled
1779496894.118044,6601,22.8946,1779496894.0951493,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496894.2107186,6602,14.7052,1779496894.1960135,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496894.3162177,6603,19.6784,1779496894.2965393,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496894.4220047,6604,24.9197,1779496894.397085,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496894.5166945,6605,18.9738,1779496894.4977207,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496894.6063833,6606,8.3966,1779496894.5979867,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496894.7148275,6607,16.3922,1779496894.6984353,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496894.8091114,6608,10.1709,1779496894.7989404,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496894.918702,6609,19.2142,1779496894.8994877,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496895.0082235,6610,8.1279,1779496895.0000956,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496895.1425233,6611,41.908,1779496895.1006153,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496895.2144206,6612,13.2608,1779496895.2011597,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496895.3167753,6613,15.3294,1779496895.301446,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496895.4234698,6614,21.569,1779496895.4019008,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496895.531008,6615,28.5895,1779496895.5024185,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496895.6208866,6616,17.9601,1779496895.6029265,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496895.7143106,6617,10.8204,1779496895.7034903,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
1779496895.8273094,6618,23.6504,1779496895.803659,True,C7_full_panorama,C7_full_panorama,normal,panorama,True,True
