unix_ts,event,topic,seq,test_id,condition,payload_bytes,active_camera_mode,active_lidar_mode,video_enabled,lidar_enabled,notes
1779496190.275984,ack_recv,latency_ack,1,C1_control_only,C1_control_only,88,off,off,False,False,rtt=91.31ms
1779496190.2959342,ack_recv,latency_ack,2,C1_control_only,C1_control_only,88,off,off,False,False,rtt=10.57ms
1779496190.405021,ack_recv,latency_ack,3,C1_control_only,C1_control_only,88,off,off,False,False,rtt=19.33ms
1779496190.5009253,ack_recv,latency_ack,4,C1_control_only,C1_control_only,88,off,off,False,False,rtt=14.62ms
1779496190.6018429,ack_recv,latency_ack,5,C1_control_only,C1_control_only,88,off,off,False,False,rtt=15.29ms
1779496190.6940997,ack_recv,latency_ack,6,C1_control_only,C1_control_only,88,off,off,False,False,rtt=7.03ms
1779496190.8022184,ack_recv,latency_ack,7,C1_control_only,C1_control_only,88,off,off,False,False,rtt=14.79ms
1779496190.8948905,ack_recv,latency_ack,8,C1_control_only,C1_control_only,88,off,off,False,False,rtt=6.06ms
1779496191.003963,ack_recv,latency_ack,9,C1_control_only,C1_control_only,88,off,off,False,False,rtt=15.97ms
1779496191.1403737,ack_recv,latency_ack,10,C1_control_only,C1_control_only,89,off,off,False,False,rtt=51.82ms
1779496191.207898,ack_recv,latency_ack,11,C1_control_only,C1_control_only,89,off,off,False,False,rtt=19.19ms
1779496191.2984133,ack_recv,latency_ack,12,C1_control_only,C1_control_only,89,off,off,False,False,rtt=9.22ms
1779496191.410811,ack_recv,latency_ack,13,C1_control_only,C1_control_only,89,off,off,False,False,rtt=21.11ms
1779496191.4988763,ack_recv,latency_ack,14,C1_control_only,C1_control_only,89,off,off,False,False,rtt=8.87ms
1779496191.607304,ack_recv,latency_ack,15,C1_control_only,C1_control_only,89,off,off,False,False,rtt=16.78ms
1779496191.704615,ack_recv,latency_ack,16,C1_control_only,C1_control_only,89,off,off,False,False,rtt=13.96ms
1779496191.8050756,ack_recv,latency_ack,17,C1_control_only,C1_control_only,89,off,off,False,False,rtt=14.00ms
1779496191.8990211,ack_recv,latency_ack,18,C1_control_only,C1_control_only,89,off,off,False,False,rtt=7.52ms
1779496192.0241578,ack_recv,latency_ack,19,C1_control_only,C1_control_only,89,off,off,False,False,rtt=31.78ms
1779496192.115216,ack_recv,latency_ack,20,C1_control_only,C1_control_only,89,off,off,False,False,rtt=22.45ms
1779496192.2047193,ack_recv,latency_ack,21,C1_control_only,C1_control_only,89,off,off,False,False,rtt=11.70ms
1779496192.311861,ack_recv,latency_ack,22,C1_control_only,C1_control_only,89,off,off,False,False,rtt=18.45ms
1779496192.4014227,ack_recv,latency_ack,23,C1_control_only,C1_control_only,89,off,off,False,False,rtt=7.59ms
1779496192.5089595,ack_recv,latency_ack,24,C1_control_only,C1_control_only,89,off,off,False,False,rtt=14.77ms
1779496192.6010327,ack_recv,latency_ack,25,C1_control_only,C1_control_only,89,off,off,False,False,rtt=6.52ms
